Feature,Mean Absolute SHAP
categorical__r_case_number_14013947CF10A,0.0
categorical__r_case_number_14013814CF10A,0.0
categorical__r_case_number_14013845MM10A,0.0
categorical__r_case_number_14013846MM10A,0.0
categorical__r_case_number_14013847CF10A,0.0
categorical__r_case_number_14013852CF10A,0.0
categorical__r_case_number_14013861CF10A,0.0
categorical__r_case_number_14013867MM10A,0.0
categorical__r_case_number_14013908MM10A,0.0
categorical__r_case_number_14013919MM10A,0.0
categorical__r_case_number_14013930MM10A,0.0
categorical__r_case_number_14013764MM10A,0.0
categorical__r_case_number_14014910CF10A,0.0
categorical__r_case_number_14014938MM10A,0.0
categorical__r_case_number_14015035CF10A,0.0
categorical__r_case_number_14015039CF10A,0.0
categorical__r_case_number_14015078CF10A,0.0
categorical__r_case_number_14015095MM10A,0.0
categorical__r_case_number_14015133CF10A,0.0
categorical__r_case_number_14015144MM10A,0.0
categorical__r_case_number_14015156MM10A,0.0
categorical__r_case_number_14015161CF10A,0.0
categorical__r_case_number_14014357MU10A,0.0
categorical__r_case_number_14015168CF10A,0.0
categorical__r_case_number_14015173MM10A,0.0
categorical__r_case_number_14015178MM10A,0.0
categorical__r_case_number_14015184MO10A,0.0
categorical__r_case_number_14015199MM10A,0.0
categorical__r_case_number_14015209CF10A,0.0
categorical__r_case_number_14015304MM10A,0.0
categorical__r_case_number_14015324CF10A,0.0
categorical__r_case_number_14015348CF10A,0.0
categorical__r_case_number_14015363CF10A,0.0
categorical__r_case_number_14015162CF10A,0.0
categorical__r_case_number_14014420TC40A,0.0
categorical__r_case_number_14014444CF10A,0.0
categorical__r_case_number_14014445CF10A,0.0
categorical__r_case_number_14014451CF10A,0.0
categorical__r_case_number_14014460CF10A,0.0
categorical__r_case_number_14014480CF10A,0.0
categorical__r_case_number_14014516MM10A,0.0
categorical__r_case_number_14014539MM10A,0.0
categorical__r_case_number_14014573CF10A,0.0
categorical__r_case_number_14014629CF10A,0.0
categorical__r_case_number_14014887CF10A,0.0
categorical__r_case_number_14014698CF10A,0.0
categorical__r_case_number_14014711MM10A,0.0
categorical__r_case_number_14014725MM10A,0.0
categorical__r_case_number_14014768CF10A,0.0
categorical__r_case_number_14014776MO10A,0.0
categorical__r_case_number_14014788CF10A,0.0
categorical__r_case_number_14014804CF10A,0.0
categorical__r_case_number_14014824MM10A,0.0
categorical__r_case_number_14014846MM10A,0.0
categorical__r_case_number_14014862MM10A,0.0
categorical__r_case_number_14014639MM10A,0.0
categorical__r_case_number_14006153CF10A,0.0
categorical__r_case_number_14006164CF10A,0.0
categorical__r_case_number_14006182CF10A,0.0
categorical__r_case_number_14006188MM10A,0.0
categorical__r_case_number_14006200CF10A,0.0
categorical__r_case_number_14006223CF10A,0.0
categorical__r_case_number_14006224CF10A,0.0
categorical__r_case_number_14006277CF10A,0.0
categorical__r_case_number_14006299MM10A,0.0
categorical__r_case_number_14006322CF10A,0.0
categorical__r_case_number_14010521MM10A,0.0
categorical__r_case_number_14006428MM10A,0.0
categorical__r_case_number_14006453TC30A,0.0
categorical__r_case_number_14006511MO10A,0.0
categorical__r_case_number_14006519MM10A,0.0
categorical__r_case_number_14006531CF10A,0.0
categorical__r_case_number_14006552MM10A,0.0
categorical__r_case_number_14006576MM10A,0.0
categorical__r_case_number_14006651CF10A,0.0
categorical__r_case_number_14006654MM10A,0.0
categorical__r_case_number_14006666CF10A,0.0
categorical__r_case_number_14006324TC10A,0.0
categorical__r_case_number_14005752CF10A,0.0
categorical__r_case_number_14005763CF10A,0.0
categorical__r_case_number_14005767CF10A,0.0
categorical__r_case_number_14005774MM10A,0.0
categorical__r_case_number_14005800MO10A,0.0
categorical__r_case_number_14005801CF10A,0.0
categorical__r_case_number_14005818MM10A,0.0
categorical__r_case_number_14005828MM10A,0.0
categorical__r_case_number_14005855TC20A,0.0
categorical__r_case_number_14005893CF10A,0.0
categorical__r_case_number_14006119MM10A,0.0
categorical__r_case_number_14005909TC10A,0.0
categorical__r_case_number_14005915CF10A,0.0
categorical__r_case_number_14005925MM10A,0.0
categorical__r_case_number_14005961CF10A,0.0
categorical__r_case_number_14005994MU10A,0.0
categorical__r_case_number_14006014CF10A,0.0
categorical__r_case_number_14006021CF10A,0.0
categorical__r_case_number_14006024MM10A,0.0
categorical__r_case_number_14006029MM10A,0.0
categorical__r_case_number_14006035MM10A,0.0
categorical__r_case_number_14005908CF10A,0.0
categorical__r_case_number_14007189TC10A,0.0
categorical__r_case_number_14007250CF10A,0.0
categorical__r_case_number_14007256MM10A,0.0
categorical__r_case_number_14007283TC20A,0.0
categorical__r_case_number_14007285MM10A,0.0
categorical__r_case_number_14007318MM10A,0.0
categorical__r_case_number_14007343MM10A,0.0
categorical__r_case_number_14007346CF10A,0.0
categorical__r_case_number_14007361CF10A,0.0
categorical__r_case_number_14007370CF10A,0.0
categorical__r_case_number_14006688CF10A,0.0
categorical__r_case_number_14007384MM10A,0.0
categorical__r_case_number_14007386MM10A,0.0
categorical__r_case_number_14007413MM10A,0.0
categorical__r_case_number_14007414MM10A,0.0
categorical__r_case_number_14007443CF10A,0.0
categorical__r_case_number_14007461CF10A,0.0
categorical__r_case_number_14007463MM10A,0.0
categorical__r_case_number_14007482CF10A,0.0
categorical__r_case_number_14007529CF10A,0.0
categorical__r_case_number_14007544tc40a,0.0
categorical__r_case_number_14007372MM10A,0.0
categorical__r_case_number_14006699CF10A,0.0
categorical__r_case_number_14006749MM10A,0.0
categorical__r_case_number_14006769CF10A,0.0
categorical__r_case_number_14006802MM10A,0.0
categorical__r_case_number_14006813CF10A,0.0
categorical__r_case_number_14006825MM10A,0.0
categorical__r_case_number_14006837CF10A,0.0
categorical__r_case_number_14006894MM10A,0.0
categorical__r_case_number_14006904TC10A,0.0
categorical__r_case_number_14006946CF10A,0.0
categorical__r_case_number_14007148CF10A,0.0
categorical__r_case_number_14006976TC10A,0.0
categorical__r_case_number_14006980MM10A,0.0
categorical__r_case_number_14006983CF10A,0.0
categorical__r_case_number_14007040MM10A,0.0
